"Adult literacy rate (% ages 15 and older)"
"73"," Sri Lanka","","","","","","","","","91.2","","","","","","","","","","92.6",""
"165"," Sudan","","","","","61.3","","","","","","","","","","74.3","","","","75.9",""
"97"," Suriname","","","","","","","","","94.7","","","","","","","","","","95.6",""
"148"," Swaziland","","","","","81.7","","","","83.1","","","","","","","","","","87.5",""
"149"," Syrian Arab Republic","","","","","","","","","","","","","","","85.5","","","","86.4",""
"129"," Tajikistan","","","","","99.5","","","","","","","","","","99.8","","","","99.8",""
"151"," Tanzania (United Republic of)","","","","","","","","","67.8","","","","79.0","","","","","","80.3",""
"87"," Thailand","","","","","92.6","","93.5","","96.4","","","","","","","","","","96.7",""
"82"," The former Yugoslav Republic of Macedonia","","","","","","","","","","","","","","","97.6","","","","97.8",""
"133"," Timor-Leste","","","","","","","","","58.3","","","","","","","","","","67.5",""
"166"," Togo","","","","","53.2","","","","","","60.4","","","","","","","","66.5",""
"101"," Tonga","","","","","","","","","","","99.4","","","","","","","","99.4",""
"65"," Trinidad and Tobago","96.9","","","","","","","","","","","","","","98.9","","","","99.0",""
"97"," Tunisia","","","","","","","","","79.1","","79.7","","","","","","","","81.8",""
"71"," Turkey","79.2","","","","","","88.2","","92.7","","94.1","","94.9","","95.3","","","","95.0",""
"111"," Turkmenistan","","","98.8","","","","","","","","","","","","99.7","","","","99.7",""
"163"," Uganda","","","","","","","","","73.2","","","","70.2","","","","","","73.9",""
"84"," Ukraine","","","","","","","","","","","","","","","99.7","","","","99.8",""
"42"," United Arab Emirates","","","","","","","90.0","","","","","","","","","","","","93.8",""
"54"," Uruguay","","","","","","","","","98.1","","98.3","","98.4","","98.4","","","","98.4",""
"105"," Uzbekistan","","","","","98.6","","","","","","","","","","99.5","","","","99.6",""
"134"," Vanuatu","","","","","","","","","","","","","","","84.0","","","","85.2",""
"71"," Venezuela (Bolivarian Republic of)","89.8","","","","","","","","","","94.8","","","","","","","","95.4",""
"115"," Viet Nam","","","","","90.2","","","","","","","","","","","","","","94.5",""
"168"," Yemen","","","","","","","","","","","","","","","67.6","","","","70.1",""
"139"," Zambia","65.0","","","","","","","","","","","","","","","","","","63.4",""
"154"," Zimbabwe","","","","","","","","","","","83.6","","","","","","","","86.5",""
""
