"Public health expenditure (% of GDP)"
"HDI Rank (2015)","Country","1995","","2000","","2005","","2010","","2011","","2012","","2013","","2014",""
"169"," Afghanistan","","","","","0.8","","2.9","","2.1","","2.9","","2.6","","2.9",""
"75"," Albania","1.7","","2.3","","2.7","","2.5","","2.8","","2.7","","2.8","","2.9",""
"83"," Algeria","2.7","","2.6","","2.3","","3.6","","3.8","","4.5","","5.2","","5.2",""
"32"," Andorra","4.0","","4.0","","3.5","","6.2","","4.9","","5.7","","9.7","","6.3",""
"150"," Angola","4.7","","1.7","","2.0","","2.1","","2.2","","2.1","","3.1","","2.1",""
"62"," Antigua and Barbuda","2.7","","2.8","","3.0","","3.9","","3.9","","3.7","","3.6","","3.8",""
"45"," Argentina","5.0","","5.0","","3.7","","4.2","","3.7","","3.0","","2.7","","2.7",""
"84"," Armenia","2.0","","1.1","","1.9","","1.9","","1.9","","1.9","","1.9","","1.9",""
"2"," Australia","4.8","","5.4","","5.7","","6.1","","6.3","","6.3","","6.3","","6.3",""
"24"," Austria","7.1","","7.5","","7.8","","8.4","","8.2","","8.4","","8.4","","8.7",""
"78"," Azerbaijan","1.4","","0.9","","0.9","","1.2","","1.1","","1.2","","1.1","","1.2",""
"58"," Bahamas","2.7","","2.5","","2.6","","3.5","","3.6","","3.3","","3.1","","3.6",""
"47"," Bahrain","2.8","","2.4","","2.2","","2.6","","2.4","","2.8","","3.0","","3.2",""
"139"," Bangladesh","1.2","","0.9","","1.0","","1.1","","1.0","","1.0","","0.8","","0.8",""
"54"," Barbados","3.5","","3.4","","3.5","","4.0","","4.2","","4.8","","4.9","","4.7",""
"52"," Belarus","4.8","","4.6","","5.0","","4.3","","3.5","","3.9","","4.0","","3.7",""
"22"," Belgium","5.8","","6.1","","7.1","","7.9","","8.0","","8.2","","8.2","","8.3",""
"103"," Belize","2.6","","2.1","","2.6","","3.9","","3.7","","3.6","","3.8","","3.9",""
"167"," Benin","2.1","","1.9","","2.4","","2.7","","2.9","","2.2","","2.2","","2.3",""
"132"," Bhutan","2.7","","5.3","","4.2","","4.5","","4.1","","2.7","","2.8","","2.6",""
"118"," Bolivia (Plurinational State of)","2.1","","3.2","","3.9","","3.7","","3.8","","3.8","","4.2","","4.6",""
"81"," Bosnia and Herzegovina","3.4","","4.0","","4.9","","6.8","","6.9","","7.1","","6.6","","6.8",""
"108"," Botswana","2.1","","2.9","","4.1","","3.5","","3.2","","4.0","","3.5","","3.2",""
"79"," Brazil","2.8","","2.8","","3.4","","3.8","","3.7","","3.7","","3.8","","3.8",""
"30"," Brunei Darussalam","2.3","","2.6","","2.2","","2.5","","2.1","","2.1","","2.4","","2.5",""
"56"," Bulgaria","3.5","","3.7","","4.3","","4.0","","3.8","","4.0","","4.1","","4.6",""
"185"," Burkina Faso","1.9","","2.0","","4.1","","4.0","","3.0","","3.0","","3.5","","2.6",""
"184"," Burundi","1.3","","1.4","","2.9","","5.5","","5.4","","4.9","","4.4","","4.0",""
"122"," Cabo Verde","4.3","","3.5","","3.6","","3.4","","3.3","","3.3","","3.1","","3.6",""
"143"," Cambodia","1.1","","1.3","","1.6","","1.4","","1.3","","1.5","","1.4","","1.3",""
"153"," Cameroon","0.9","","0.9","","1.1","","1.5","","1.3","","1.1","","1.0","","0.9",""
"10"," Canada","6.3","","6.1","","6.7","","7.9","","7.7","","7.7","","7.6","","7.4",""
